d1,type,d2
DB09167,0,DB01029
DB00188,0,DB00471
DB08875,0,DB01097
DB01156,0,DB04841
DB00169,0,DB12161
DB00496,0,DB04946
DB00169,0,DB01544
DB08875,0,DB01029
DB00322,0,DB00222
DB00678,0,DB00471
DB00623,0,DB00458
DB00482,0,DB00731
DB12001,0,DB00619
DB00972,0,DB01156
DB01156,0,DB00502
DB12267,0,DB01259
DB01242,0,DB01071
DB01396,0,DB01026
DB00736,0,DB00458
DB00751,0,DB01149
DB06413,0,DB01211
DB00176,0,DB00471
DB04855,0,DB01227
DB00188,0,DB05381
DB09026,0,DB00199
DB00924,0,DB00270
DB05541,0,DB00257
DB00972,0,DB01241
DB00283,0,DB13874
DB00751,0,DB00951
DB01242,0,DB00531
DB01194,0,DB00254
DB09039,0,DB00598
DB00751,0,DB00622
DB00608,0,DB00598
DB00343,0,DB00836
DB00477,0,DB00227
DB00907,0,DB08893
DB06710,0,DB01149
DB00289,0,DB00586
DB00332,0,DB00622
DB01120,0,DB00951
DB00482,0,DB00295
DB01274,0,DB00482
DB01012,0,DB01206
DB01156,0,DB00751
DB00851,0,DB00281
DB00254,0,DB00916
DB00188,0,DB08875
DB01097,0,DB06725
DB06701,0,DB00502
DB00322,0,DB00916
DB05219,0,DB01283
DB01244,0,DB09039
DB06413,0,DB00395
DB05812,0,DB01018
DB00608,0,DB01142
DB04855,0,DB00751
DB00207,0,DB04920
DB00195,0,DB00257
DB06016,0,DB00254
DB00327,0,DB08893
DB00836,0,DB04871
DB01023,0,DB08918
DB00628,0,DB00619
DB00924,0,DB00227
DB00477,0,DB00169
DB01558,0,DB00169
DB00637,0,DB00472
DB00207,0,DB00176
DB00482,0,DB05219
DB00318,0,DB00227
DB01211,0,DB01023
DB01242,0,DB01149
DB06702,0,DB00270
DB01012,0,DB00333
DB00455,0,DB00333
DB00482,0,DB00322
DB01156,0,DB01576
DB01418,0,DB00188
DB00835,0,DB00320
DB01211,0,DB01544
DB01118,0,DB01075
DB00188,0,DB01283
DB00297,0,DB00736
DB00568,0,DB01026
DB00188,0,DB00328
DB00343,0,DB01215
DB00169,0,DB00927
DB00283,0,DB00199
DB01211,0,DB00281
DB00283,0,DB13954
DB00608,0,DB00458
DB00673,0,DB09198
DB01151,0,DB00736
DB00222,0,DB00678
DB01259,0,DB00678
DB01101,0,DB01355
DB11737,0,DB09198
