d1,type,d2,event_category
DB09167,0,DB01029,Common
DB00188,0,DB00471,Common
DB08875,0,DB01097,Common
DB01156,0,DB04841,Common
DB00169,0,DB12161,Common
DB00496,0,DB04946,Common
DB00169,0,DB01544,Common
DB08875,0,DB01029,Common
DB00322,0,DB00222,Common
DB00678,0,DB00471,Common
DB00623,0,DB00458,Common
DB00482,0,DB00731,Common
DB12001,0,DB00619,Common
DB00972,0,DB01156,Common
DB01156,0,DB00502,Common
DB12267,0,DB01259,Common
DB01242,0,DB01071,Common
DB01396,0,DB01026,Common
DB00736,0,DB00458,Common
DB00751,0,DB01149,Common
DB06413,0,DB01211,Common
DB00176,0,DB00471,Common
DB04855,0,DB01227,Common
DB00188,0,DB05381,Common
DB09026,0,DB00199,Common
DB00924,0,DB00270,Common
DB05541,0,DB00257,Common
DB00972,0,DB01241,Common
DB00283,0,DB13874,Common
DB00751,0,DB00951,Common
DB01242,0,DB00531,Common
DB01194,0,DB00254,Common
DB09039,0,DB00598,Common
DB00751,0,DB00622,Common
DB00608,0,DB00598,Common
DB00343,0,DB00836,Common
DB00477,0,DB00227,Common
DB00907,0,DB08893,Common
DB06710,0,DB01149,Common
DB00289,0,DB00586,Common
DB00332,0,DB00622,Common
DB01120,0,DB00951,Common
DB00482,0,DB00295,Common
DB01274,0,DB00482,Common
DB01012,0,DB01206,Common
DB01156,0,DB00751,Common
DB00851,0,DB00281,Common
DB00254,0,DB00916,Common
DB00188,0,DB08875,Common
DB01097,0,DB06725,Common
DB06701,0,DB00502,Common
DB00322,0,DB00916,Common
DB05219,0,DB01283,Common
DB01244,0,DB09039,Common
DB06413,0,DB00395,Common
DB05812,0,DB01018,Common
DB00608,0,DB01142,Common
DB04855,0,DB00751,Common
DB00207,0,DB04920,Common
DB00195,0,DB00257,Common
DB06016,0,DB00254,Common
DB00327,0,DB08893,Common
DB00836,0,DB04871,Common
DB01023,0,DB08918,Common
DB00628,0,DB00619,Common
DB00924,0,DB00227,Common
DB00477,0,DB00169,Common
DB01558,0,DB00169,Common
DB00637,0,DB00472,Common
DB00207,0,DB00176,Common
DB00482,0,DB05219,Common
DB00318,0,DB00227,Common
DB01211,0,DB01023,Common
DB01242,0,DB01149,Common
DB06702,0,DB00270,Common
DB01012,0,DB00333,Common
DB00455,0,DB00333,Common
DB00482,0,DB00322,Common
DB01156,0,DB01576,Common
DB01418,0,DB00188,Common
DB00835,0,DB00320,Common
DB01211,0,DB01544,Common
DB01118,0,DB01075,Common
DB00188,0,DB01283,Common
DB00297,0,DB00736,Common
DB00568,0,DB01026,Common
DB00188,0,DB00328,Common
DB00343,0,DB01215,Common
DB00169,0,DB00927,Common
DB00283,0,DB00199,Common
DB01211,0,DB00281,Common
DB00283,0,DB13954,Common
DB00608,0,DB00458,Common
DB00673,0,DB09198,Common
DB01151,0,DB00736,Common
DB00222,0,DB00678,Common
DB01259,0,DB00678,Common
DB01101,0,DB01355,Common
DB11737,0,DB09198,Common
DB01435,0,DB00379,Common
DB01142,0,DB00678,Common
DB00317,0,DB00458,Common
DB00490,0,DB00496,Common
DB00188,0,DB04845,Common
DB09061,0,DB00745,Common
DB00270,0,DB00731,Common
DB00501,0,DB01075,Common
DB05219,0,DB01184,Common
DB00207,0,DB00370,Common
DB00673,0,DB00951,Common
DB00866,0,DB01403,Common
DB00472,0,DB01065,Common
DB08918,0,DB00227,Common
DB00176,0,DB00281,Common
DB01016,0,DB00951,Common
DB03128,0,DB00257,Common
DB00320,0,DB00295,Common
DB00836,0,DB01403,Common
DB00907,0,DB00281,Common
DB00602,0,DB01149,Common
DB00588,0,DB00619,Common
DB00619,0,DB06738,Common
DB00091,0,DB00180,Common
DB00501,0,DB01628,Common
DB08865,0,DB13074,Common
DB01244,0,DB00333,Common
DB00276,0,DB00458,Common
DB01418,0,DB01211,Common
DB01120,0,DB00745,Common
DB00356,0,DB04871,Common
DB00216,0,DB09119,Common
DB01429,0,DB00333,Common
