d1,type,d2,event_category
DB00439,0,DB01590,Rare
DB00439,0,DB00627,Rare
DB00439,0,DB00758,Rare
DB00594,1,DB00091,Rare
DB00153,1,DB00808,Rare
DB00898,2,DB08827,Rare
DB00091,2,DB06710,Rare
DB00636,3,DB01394,Rare
DB00439,3,DB01394,Rare
DB01245,4,DB00997,Rare
DB00694,4,DB01245,Rare
DB01254,5,DB00751,Rare
DB00436,6,DB01175,Rare
DB01242,7,DB00211,Rare
DB01039,8,DB00227,Rare
DB00555,9,DB00603,Rare
DB01245,10,DB00695,Rare
DB00437,11,DB00542,Rare
DB00443,12,DB09063,Rare
DB06263,13,DB00720,Rare
DB00993,14,DB01033,Rare
DB00898,15,DB01020,Rare
